Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676358707,21277,1,2,0
1477676358708,21278,1,2,0
1477676358709,21278,1,2,0
1477676358710,21256,1,2,0
1477676358711,21250,1,2,0
1477676358712,21250,1,2,0
1477676358713,21251,1,2,0
1477676358714,21251,1,2,0
1477676358715,21252,1,2,0
1477676358716,21252,1,2,0
1477676358717,21252,1,2,0
1477676358718,21251,1,2,0
1477676358719,21253,1,2,0
1477676358720,21253,1,2,0
1477676358721,21252,1,2,0
1477676358722,21253,1,2,0
1477676358723,21252,1,2,0
1477676358724,21253,1,2,0
1477676358725,21253,1,2,0
1477676358726,21255,1,2,0
1477676358727,21256,1,2,0
1477676358728,21256,1,2,0
1477676358729,21255,1,2,0
1477676358730,21256,1,2,0
1477676358731,21257,1,2,0
1477676358732,21258,1,2,0
1477676358733,21257,1,2,0
1477676358734,21257,1,2,0
1477676358735,21257,1,2,0
1477676358736,21258,1,2,0
1477676358737,21258,1,2,0
1477676358738,21258,1,2,0
1477676358739,21259,1,2,0
1477676358740,21259,1,2,0
1477676358741,21260,1,2,0
1477676358742,21260,1,2,0
1477676358743,21260,1,2,0
1477676358744,21261,1,2,0
1477676358745,21261,1,2,0
1477676358746,21260,1,2,0
1477676358747,21262,1,2,0
1477676358748,21262,1,2,0
1477676358749,21261,1,2,0
1477676358750,21262,1,2,0
1477676358751,21263,1,2,0
1477676358752,21263,1,2,0
1477676358753,21263,1,2,0
1477676358754,21264,1,2,0
1477676358755,21265,1,2,0
1477676358756,21264,1,2,0
1477676358757,21264,1,2,0
1477676358758,21265,1,2,0
1477676358759,21264,1,2,0
1477676358760,21265,1,2,0
1477676358761,21267,1,2,0
1477676358762,21266,1,2,0
1477676358763,21268,1,2,0
1477676358764,21268,1,2,0
1477676358765,21268,1,2,0
1477676358766,21267,1,2,0
1477676358767,21269,1,2,0
1477676358768,21269,1,2,0
1477676358769,21269,1,2,0
1477676358770,21269,1,2,0
1477676358771,21269,1,2,0
1477676358772,21269,1,2,0
1477676358773,21270,1,2,0
1477676358774,21270,1,2,0
1477676358775,21271,1,2,0
